Name,Year,DOI,DOI-URL,Accessible
Bioconjugate chemistry,1990,10.1021/bc00001a001,https://doi.org/10.1021/bc00001a001,False
Bioconjugate chemistry,1991,10.1021/bc00011a002,https://doi.org/10.1021/bc00011a002,False
Bioconjugate chemistry,1992,10.1021/bc00018a005,https://doi.org/10.1021/bc00018a005,False
Bioconjugate chemistry,1993,10.1021/bc00022a009,https://doi.org/10.1021/bc00022a009,False
Bioconjugate chemistry,1994,10.1021/bc00030a014,https://doi.org/10.1021/bc00030a014,False
Bioconjugate chemistry,1995,10.1021/bc00035a017,https://doi.org/10.1021/bc00035a017,False
