Title,PackageName,URL,Publisher,PrintISSN,OnlineISSN,ManagedCoverageBegin,ManagedCoverageEnd
Placenta,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/placenta,Elsevier Health Sciences,0143-4004,1532-3102,1995-01-01,Present
Journal of comparative pathology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-comparative-pathology,Elsevier Health Sciences,0021-9975,1532-3129,1995-01-01,Present
Evidence-based Obstetrics & Gynecology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/evidence-based-obstetrics-and-gynecology,Churchill Livingstone,1361-259X,1532-3366,1999-03-01,2006-12-31
International Journal of Obstetric Anesthesia,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/international-journal-of-obstetric-anesthesia,Elsevier Health Sciences,0959-289X,1532-3374,1995-01-01,Present
The Journal of Evidence-Based Dental Practice,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-evidence-based-dental-practice,Mosby,1532-3382,1532-3390,2001-07-01,Present
Intensive and Critical Care Nursing: The Official Journal of the British Association of Critical Care Nurses,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/intensive-and-critical-care-nursing,Elsevier,0964-3397,1532-4036,1995-02-01,Present
Annals of Behavioral Medicine,Oxford Journals (CRKN),https://academic.oup.com/abm/issue,Oxford University Press,0883-6612,1532-4796,1996-03-01,Present
Annals of Behavioral Medicine,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12160,Oxford University Press,0883-6612,1532-4796,1997-01-01,2017-12-31
Animal Learning & Behavior,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13420,Psychonomic Society Publications,0090-4996,1532-5830,1997-01-01,2002-12-31
Memory & Cognition,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13421,Springer Science+Business Media B.V.,0090-502X,1532-5946,1997-01-01,Present
Perception & Psychophysics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13414,Psychonomic Society Publications,0031-5117,1532-5962,1997-01-01,2008-12-31
"Behavior Research Methods, Instruments, & Computers",SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13428,Psychonomic Society Publications,0743-3808,1532-5970,1997-01-01,2004-12-31
Air Medical Journal,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/air-medical-journal,Elsevier Health Sciences,1067-991X,1532-6497,1993-01-01,Present
Journal of Shoulder and Elbow Surgery,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-shoulder-and-elbow-surgery,Mosby,1058-2746,1532-6500,1995-01-01,Present
Case Manager,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/the-case-manager,Mosby,1061-9259,1532-6527,1995-01-01,2006-12-31
Journal of Laboratory and Clinical Medicine,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-laboratory-and-clinical-medicine,Mosby,0022-2143,1532-6543,1996-01-01,2006-06-01
Journal of Nuclear Cardiology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12350,Springer Verlag New York Inc,1071-3581,1532-6551,1997-01-01,Present
Journal of Pediatric Health Care,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-pediatric-health-care,Mosby,0891-5245,1532-656X,1995-01-01,Present
Journal of Vascular Nursing,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-vascular-nursing,Mosby,1062-0303,1532-6578,1995-03-01,Present
Journal of Manipulative and Physiological Therapeutics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-manipulative-and-physiological-therapeutics,Mosby,0161-4754,1532-6586,1999-01-01,Present
"Surgery: Official Journal of the Society of University Surgeons, Central Surgical Association, and American Association of Endocrine Surgeons",ScienceDirect (CRKN),https://www.sciencedirect.com/journal/surgery,Mosby,0039-6060,1532-7361,1995-01-01,Present
International Journal of Behavioral Medicine,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12529,Springer Science+Business Media B.V.,1070-5503,1532-7558,1997-01-01,Present
The American Journal of Emergency Medicine,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/the-american-journal-of-emergency-medicine,Elsevier,0735-6757,1532-8171,1995-01-01,Present
American Journal of Otolaryngology--Head and Neck Medicine and Surgery,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/american-journal-of-otolaryngology,Elsevier,0196-0709,1532-818X,1995-01-01,Present
Annals of Diagnostic Pathology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/annals-of-diagnostic-pathology,Elsevier Health Sciences,1092-9134,1532-8198,1997-10-01,Present
Applied Nursing Research,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/applied-nursing-research,W B Saunders Company,0897-1897,1532-8201,1995-02-01,Present
Archives of physical medicine and rehabilitation,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/archives-of-physical-medicine-and-rehabilitation,Elsevier,0003-9993,1532-821X,1995-01-01,Present
Archives of Psychiatric Nursing,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/archives-of-psychiatric-nursing,W B Saunders Company,0883-9417,1532-8228,1995-02-01,Present
Comprehensive Psychiatry,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/comprehensive-psychiatry,Elsevier,0010-440X,1532-8384,1995-01-01,Present
Human Pathology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/human-pathology,W B Saunders Company,0046-8177,1532-8392,1995-01-01,Present
Journal of Arthroplasty,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/the-journal-of-arthroplasty,Elsevier,0883-5403,1532-8406,1995-02-01,Present
Journal of Cardiac Failure,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-cardiac-failure,W B Saunders Company,1071-9164,1532-8414,1995-03-01,Present
Journal of Cardiothoracic and Vascular Anesthesia,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-cardiothoracic-and-vascular-anesthesia,Elsevier Science,1053-0770,1532-8422,1995-02-01,Present
Journal of electrocardiology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-electrocardiology,Elsevier,0022-0736,1532-8430,1995-01-01,Present
Journal of Pediatric Nursing,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-pediatric-nursing,Elsevier Science,0882-5963,1532-8449,1995-02-01,Present
Journal of PeriAnesthesia Nursing,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-perianesthesia-nursing,Elsevier Science,1089-9472,1532-8473,1996-02-01,Present
Journal of professional nursing : official journal of the American Association of Colleges of Nursing (Science Direct),ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-professional-nursing,W B Saunders Company,8755-7223,1532-8481,1995-01-01,Present
Journal of Stroke and Cerebrovascular Diseases,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-stroke-and-cerebrovascular-diseases,W B Saunders Company,1052-3057,1532-8511,1995-01-01,Present
Metabolism: Clinical and Experimental,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/metabolism,W B Saunders Company,0026-0495,1532-8600,1995-01-01,Present
Operative Techniques in Thoracic and Cardiovascular Surgery: A Comparative Atlas,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/operative-techniques-in-thoracic-and-cardiovascular-surgery,W B Saunders Company,1522-2942,1532-8627,1998-05-01,Present
Pain management nursing : official journal of the American Society of Pain Management Nurses,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/pain-management-nursing,W B Saunders Company,1524-9042,1532-8635,2000-03-01,Present
Progress in Cardiovascular Diseases,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/progress-in-cardiovascular-diseases,Elsevier Science,0033-0620,1532-8643,1995-01-01,Present
Seminars in Arthritis and Rheumatism,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/seminars-in-arthritis-and-rheumatism,Elsevier Science,0049-0172,1532-866X,1995-02-01,Present
Accident and Emergency Nursing,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/accident-and-emergency-nursing,Elsevier,0965-2302,1532-9267,1995-01-01,2007-10-31
Clinical Effectiveness In Nursing,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/clinical-effectiveness-in-nursing,Elsevier,1361-9004,1532-9275,1997-03-01,2006-12-31
Journal of Bodywork and Movement Therapies,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-bodywork-and-movement-therapies,Elsevier Ltd,1360-8592,1532-9283,1996-10-01,Present
Seminars in Pediatric Surgery,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/seminars-in-pediatric-surgery,Elsevier Science,1055-8586,1532-9453,1998-02-01,Present
Seminars in Radiation Oncology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/seminars-in-radiation-oncology,W B Saunders Company,1053-4296,1532-9461,1995-01-01,Present
Seminars in Thoracic and Cardiovascular Surgery,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/seminars-in-thoracic-and-cardiovascular-surgery,W B Saunders Company,1043-0679,1532-9488,1998-01-01,Present
Transfusion medicine reviews,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/transfusion-medicine-reviews,Elsevier Science,0887-7963,1532-9496,1993-01-01,Present
Demography,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13524,Population Association of America,0070-3370,1533-7790,1997-01-01,Present
Music Theory Spectrum,Oxford Journals (CRKN),https://academic.oup.com/mts/issue,Oxford University Press,0195-6167,1533-8339,1996-01-01,Present
Social Problems,Oxford Journals (CRKN),https://academic.oup.com/socpro/issue,Oxford University Press,0037-7791,1533-8533,1996-02-01,Present
Oral History Review,Oxford Journals (CRKN),https://academic.oup.com/ohr/issue,Oxford University Press,0094-0798,1533-8592,1996-01-01,Present
Current Pain and Headache Reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11916,Current Medicine Group LLC,1531-3433,1534-3081,1997-01-01,Present
Current Treatment Options in Gastroenterology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11938,Current Medicine Group LLC,1092-8472,1534-309X,1998-01-01,Present
Current Hypertension Reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11906,Current Medicine Group LLC,1522-6417,1534-3111,1999-01-01,Present
Current Gastroenterology Reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11894,Current Medicine Group LLC,1522-8037,1534-312X,1999-01-01,Present
Current Treatment Options in Neurology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11940,Current Medicine Group LLC,1092-8480,1534-3138,1999-01-01,Present
Current Infectious Disease Reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11908,Current Medicine Group LLC,1523-3847,1534-3146,1999-01-01,Present
Current Cardiology Reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11886,Current Medicine Group LLC,1523-3782,1534-3170,1999-01-01,Present
Current Treatment Options in Cardiovascular Medicine,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11936,Current Medicine Group LLC,1092-8464,1534-3189,1999-01-01,Present
"Annals of Allergy, Asthma, & Immunology",ScienceDirect (CRKN),https://www.sciencedirect.com/journal/annals-of-allergy-asthma-and-immunology,Elsevier Health Sciences,1081-1206,1534-4436,1996-01-01,Present
Annals of Surgical Oncology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/10434,Springer Science+Business Media B.V.,1068-9265,1534-4681,1997-01-01,Present
Annals of Surgical Oncology,SpringerLINK Archive (CRKN),https://link.springer.com/journal/volumesAndIssues/10434,Springer Science+Business Media B.V.,1068-9265,1534-4681,1994-01-01,1996-11-30
Current Atherosclerosis Reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11883,Current Medicine Group LLC,1523-3804,1534-6242,1999-01-01,Present
Current treatment options in infectious diseases,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/40506,Springer Science+Business Media B.V.,1523-3820,1534-6250,2014-01-01,Present
Current oncology reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11912,Springer Science+Business Media B.V.,1523-3790,1534-6269,1999-01-01,Present
Current Treatment Options in Oncology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11864,Springer Science+Business Media B.V.,1527-2729,1534-6277,2000-01-01,Present
Current Urology Reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11934,Current Medicine Group LLC,1527-2737,1534-6285,2000-01-01,Present
Current Neurology and Neuroscience Reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11910,Current Medicine Group LLC,1528-4042,1534-6293,2001-01-01,Present
Current Rheumatology Reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11926,Current Medicine Group LLC,1523-3774,1534-6307,1999-01-01,Present
Current Allergy and Asthma Reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11882,Current Medicine Group LLC,1529-7322,1534-6315,2001-01-01,Present
Social Forces,Oxford Journals (CRKN),https://academic.oup.com/sf/issue,Oxford University Press,0037-7732,1534-7605,1996-03-01,Present
Current Psychiatry Reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11920,Current Medicine Group LLC,1523-3812,1535-1645,1999-01-01,Present
Journal of proteome research,ACS (CRKN),https://pubs.acs.org/journal/jprobs,American Chemical Society,1535-3893,1535-3907,2002-02-01,Present
Current Problems in Cardiology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/current-problems-in-cardiology,Elsevier,0146-2806,1535-6280,1995-01-01,Present
Current Problems in Dermatology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/current-problems-in-dermatology,Mosby,1040-0486,1535-6299,1995-01-01,2003-12-31
Current Problems in Diagnostic Radiology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/current-problems-in-diagnostic-radiology,Elsevier,0363-0188,1535-6302,1993-01-01,Present
Current Problems in Pediatrics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/current-problems-in-pediatrics,Mosby,0045-9380,1535-6329,1995-01-01,2001-12-31
Current Problems in Surgery,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/current-problems-in-surgery,Mosby,0011-3840,1535-6337,1995-01-01,Present
Current Problems in Cancer,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/current-problems-in-cancer,Elsevier Health Sciences,0147-0272,1535-6345,1995-01-01,Present
Home care provider,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/home-care-provider,Mosby,1084-628X,1535-9336,1996-01-01,2001-12-31
Nonlinear Oscillations,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11072,Consultants Bureau,,1536-0059,2002-01-01,2012-12-31
Inflammatory Bowel Diseases,Oxford Journals (CRKN),https://academic.oup.com/ibdjournal/issue,Oxford University Press,1078-0998,1536-4844,1996-01-01,Present
The Journal of Applied Poultry Research,Oxford Journals (CRKN),https://academic.oup.com/japr/issue,Oxford University Press,1056-6171,1537-0437,1996-01-01,Present
Molecular biology and evolution,Oxford Journals (CRKN),https://academic.oup.com/mbe/issue,Oxford University Press,0737-4038,1537-1719,1996-01-01,Present
"Journal of Agricultural, Biological & Environmental Statistics (JABES)",SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13253,Springer Science+Business Media B.V.,1085-7117,1537-2693,2001-01-01,Present
Biosystems engineering,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/biosystems-engineering,Elsevier Science Limited,1537-5110,1537-5129,2002-01-01,Present
Journal of Consumer Research,Oxford Journals (CRKN),https://academic.oup.com/jcr/issue,Oxford University Press,0093-5301,1537-5277,1996-03-01,Present
Public Opinion Quarterly,Oxford Journals (CRKN),https://academic.oup.com/poq/issue,Oxford University Press,0033-362X,1537-5331,1996-01-01,Present
Clinical Infectious Diseases,Oxford Journals (CRKN),https://academic.oup.com/cid/issue,Oxford University Press,1058-4838,1537-6591,1996-01-01,Present
Journal of Infectious Diseases : Official Publication of the Infectious Diseases Society of America,Oxford Journals (CRKN),https://academic.oup.com/jid/issue,Oxford University Press,0022-1899,1537-6613,1996-01-01,Present
Journal of NeuroVirology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13365,Springer Verlag New York Inc,1355-0284,1538-2443,2001-01-01,Present
Current Problems in Pediatric and Adolescent Health Care,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/current-problems-in-pediatric-and-adolescent-health-care,Elsevier Health Sciences,1538-5442,1538-3199,2002-01-01,Present
Physical Therapy,Oxford Journals (CRKN),https://academic.oup.com/ptj/issue,Oxford University Press,0031-9023,1538-6724,1996-01-01,Present
Journal of the American Medical Directors Association,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-the-american-medical-directors-association,Elsevier,1525-8610,1538-9375,2001-01-01,Present
Current Diabetes Reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11892,Current Medicine Group LLC,1534-4827,1539-0829,2001-01-01,Present
Ambulatory Pediatrics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/ambulatory-pediatrics,Elsevier,1530-1567,1539-4409,2001-01-01,2008-12-31
Disaster Management & Response,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/disaster-management-and-response,Mosby,1540-2487,1540-2495,2003-01-01,2007-12-31
Nurse Leader,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/nurse-leader,Mosby,1541-4612,1541-4620,2003-01-01,Present
Industrial & Engineering Chemistry (Analytical Edition),ACS Legacy Archives,https://pubs.acs.org/loi/iecac0,American Chemical Society,0096-4484,1541-4655,1929-01-01,1946-12-01
Industrial & Engineering Chemistry Fundamentals,ACS Legacy Archives,https://pubs.acs.org/loi/iecfa7,American Chemical Society,0196-4313,1541-4833,1962-02-01,1986-11-01
Industrial & Engineering Chemistry Product Research and Development,ACS Legacy Archives,https://pubs.acs.org/loi/iepra6,American Chemical Society,0196-4321,1541-4841,1978-03-01,1986-12-01
Industrial & Engineering Chemistry Process Design and Development,ACS Legacy Archives,https://pubs.acs.org/loi/iepdaw,American Chemical Society,0196-4305,1541-5716,1962-01-01,1986-10-01
Industrial & Engineering Chemistry,ACS Legacy Archives,https://pubs.acs.org/loi/iechad,American Chemical Society,0019-7866,1541-5724,1923-01-01,1970-12-01
Journal of chemical documentation,ACS Legacy Archives,https://pubs.acs.org/loi/jci001,American Chemical Society,0021-9576,1541-5732,1961-01-01,1974-11-01
The Journal of Physical Chemistry,ACS Legacy Archives,https://pubs.acs.org/loi/jpchax,American Chemical Society,0022-3654,1541-5740,1951-01-01,1995-12-31
The Journal of Physical Chemistry,ACS (CRKN),https://pubs.acs.org/loi/jpchax,American Chemical Society,0022-3654,1541-5740,1996-01-01,1996-12-31
Industrial & Engineering Chemistry Chemical & Engineering Data Series,ACS Legacy Archives,https://pubs.acs.org/loi/iecjc0,American Chemical Society,0095-9146,1541-5759,1956-01-01,1958-10-01
Journal of Nutrition,Oxford Journals (CRKN),https://academic.oup.com/jn/issue,Oxford University Press,0022-3166,1541-6100,1996-01-01,Present
Journal of foot and ankle surgery,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/the-journal-of-foot-and-ankle-surgery,W B Saunders Company,1067-2516,1542-2224,1995-01-01,Present
Journal of the European Economic Association,Oxford Journals (CRKN),https://academic.oup.com/jeea/issue,Oxford University Press,1542-4766,1542-4774,2003-01-01,Present
Journal of Equine Veterinary Science,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-equine-veterinary-science,Elsevier Science,0737-0806,1542-7412,1993-01-01,Present
Clinical Gastroenterology and Hepatology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/clinical-gastroenterology-and-hepatology,W B Saunders Company,1542-3565,1542-7714,2003-01-01,Present
Journal of Cancer Education : The Official Journal of the American Association for Cancer Education,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13187,Springer Science+Business Media B.V.,0885-8195,1543-0154,2007-01-01,Present
Seminars in integrative medicine,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/seminars-in-integrative-medicine,Elsevier Science,1543-1150,1543-1169,2003-03-01,2005-12-31
"JOM Journal of the Minerals, Metals and Materials Society",SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11837,Springer Science+Business Media B.V.,1047-4838,1543-1851,1997-01-01,Present
Journal of electronic materials,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11664,Springer Science+Business Media B.V.,0361-5235,1543-186X,1997-01-01,Present
Metallurgical & Materials Transactions Part B,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11663,Springer Science+Business Media B.V.,1073-5615,1543-1916,1997-01-01,Present
Metallurgical and Materials Transactions A,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11661,Springer Science+Business Media B.V.,1073-5623,1543-1940,1997-01-01,Present
Learning & Behavior,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13420,Springer Nature,1543-4494,1543-4508,1997-01-01,Present
In Vitro Cellular & Developmental Biology - Animal,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11626,Society for In Vitro Biology,1071-2690,1543-706X,1997-01-01,Present
Molecular pharmaceutics,ACS (CRKN),https://pubs.acs.org/journal/mpohbp,American Chemical Society,1543-8384,1543-8392,2004-01-01,Present
Journal of Thermal Spray Technology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11666,Springer Science+Business Media B.V.,1059-9630,1544-1016,1997-01-01,Present
Journal of Materials Engineering and Performance,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11665,Springer Science+Business Media B.V.,1059-9495,1544-1024,1997-01-01,Present
Journal of Phase Equilibria,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12385,Springer Verlag New York Inc,1054-9714,1544-1032,1997-01-01,2003-12-31
Current Osteoporosis Reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11914,Current Medicine Group LLC,1544-1873,1544-2241,2003-01-01,Present
Current Prostate Reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11918,Current Medicine Group LLC,1544-1865,1544-225X,2003-01-01,2009-12-31
Finance research letters,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/finance-research-letters,Elsevier Science Limited,1544-6123,1544-6131,2004-03-01,Present
Journal of Hand Therapy,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-hand-therapy,Elsevier,0894-1130,1545-004X,1995-01-01,Present
Mammalian Species,Oxford Journals (CRKN),https://academic.oup.com/mspecies/issue,Oxford University Press,0076-3519,1545-1410,1996-05-01,Present
Wilderness & Environmental Medicine,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/wilderness-and-environmental-medicine,Elsevier,1080-6032,1545-1534,1995-02-01,Present
Journal of Mammalogy,Oxford Journals (CRKN),https://academic.oup.com/jmammal/issue,Oxford University Press,0022-2372,1545-1542,1996-02-01,Present
Children & Schools,Oxford Journals (CRKN),https://academic.oup.com/cs/issue,Oxford University Press,1532-8759,1545-682X,2000-10-01,Present
Social Work Research,Oxford Journals (CRKN),https://academic.oup.com/swr/issue,Oxford University Press,1070-5309,1545-6838,1996-03-01,Present
Social Work,Oxford Journals (CRKN),https://academic.oup.com/sw/issue,Oxford University Press,0037-8046,1545-6846,1996-01-01,Present
Health and Social Work,Oxford Journals (CRKN),https://academic.oup.com/hsw/issue,Oxford University Press,0360-7283,1545-6854,1996-02-01,Present
Psychosomatics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/psychosomatics,Elsevier,0033-3182,1545-7206,1995-01-01,Present
The American Journal of Geriatric Psychiatry: Official Journal of the American Association for Geriatric Psychiatry,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/the-american-journal-of-geriatric-psychiatry,Elsevier,1064-7481,1545-7214,1994-12-01,Present
Academic Psychiatry,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/40596,Springer International Publishing,1042-9670,1545-7230,1997-01-01,Present
Current Heart Failure Reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11897,Current Medicine Group LLC,1546-9530,1546-9549,2004-01-01,Present
Current HIV/AIDS Reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11904,Springer Science+Business Media B.V.,1548-3568,1548-3576,2004-01-01,Present
Current Sexual Health Report,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11930,Springer,1548-3584,1548-3592,2004-01-01,Present
Ophthalmology (Elsevier),ScienceDirect (CRKN),https://www.sciencedirect.com/journal/ophthalmology,Elsevier,0161-6420,1549-4713,1995-01-01,Present
Journal of chemical information and modeling,ACS Legacy Archives,https://pubs.acs.org/loi/jcisd8,American Chemical Society,1549-9596,1549-960X,1961-01-01,1995-12-31
Journal of chemical information and modeling,ACS (CRKN),https://pubs.acs.org/journal/jcisd8,American Chemical Society,1549-9596,1549-960X,2005-01-01,Present
Journal of chemical theory and computation,ACS (CRKN),https://pubs.acs.org/journal/jctcce,American Chemical Society,1549-9618,1549-9626,2005-01-01,Present
"Nanomedicine: Nanotechnology, Biology and Medicine",ScienceDirect (CRKN),https://www.sciencedirect.com/journal/nanomedicine-nanotechnology-biology-and-medicine,Elsevier,1549-9634,1549-9642,2005-03-01,Present
AAPS journal,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12248,Springer Science+Business Media B.V.,,1550-7416,1999-01-01,Present
Sleep,Oxford Journals (CRKN),https://academic.oup.com/sleep/issue,Oxford University Press,0161-8105,1550-9109,1996-01-01,Present
"NanoBiotechnology : the journal at the intersection of nanotechnology, molecular biology, and biomedical sciences",SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12030,Springer Science+Business Media B.V.,1551-1286,1551-1294,2005-01-01,2009-12-31
Alzheimer's & Dementia: The Journal of the Alzheimer's Association,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/alzheimers-and-dementia,Elsevier Health Sciences,1552-5260,1552-5279,2005-07-01,Present
The Annals of Thoracic Surgery,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/the-annals-of-thoracic-surgery,Elsevier,0003-4975,1552-6259,1995-01-01,Present
Journal of the Academy of Marketing Science,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11747,Springer Science+Business Media B.V.,0092-0703,1552-7824,1997-01-01,Present
Journal of minimally invasive gynecology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-minimally-invasive-gynecology,Elsevier Science Limited,1553-4650,1553-4669,2005-01-01,Present
Sexuality Research and Social Policy,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13178,Springer Science+Business Media B.V.,1868-9884,1553-6610,2004-01-01,Present
European heart journal supplements: Journal of the European Society of Cardiology,Oxford Journals (CRKN),https://academic.oup.com/eurheartjsupp/issue,Oxford University Press,1520-765X,1554-2815,2001-05-01,Present
Behavior Research Methods,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13428,Springer Science+Business Media B.V.,1554-351X,1554-3528,1997-01-01,Present
Journal of Neuropathology & Experimental Neurology,Oxford Journals (CRKN),https://academic.oup.com/jnen/issue,Oxford University Press,0022-3069,1554-6578,1996-01-01,Present
Medicinal Chemistry Research,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/44,Springer Science+Business Media B.V.,1054-2523,1554-8120,2004-01-01,Present
ACS Chemical Biology,ACS (CRKN),https://pubs.acs.org/journal/acbcct,American Chemical Society,1554-8929,1554-8937,2006-02-01,Present
The International Entrepreneurship and Management Journal,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11365,Springer Science & Business Media,1554-7191,1555-1938,2005-01-01,Present
