Name,Year,DOI,DOI-URL,Accessible
ACS Biomaterials Science & Engineering,2015,10.1021/ab5001468,https://doi.org/10.1021/ab5001468,False
ACS Biomaterials Science & Engineering,2016,10.1021/abv002i009_888803,https://doi.org/10.1021/abv002i009_888803,False
ACS Biomaterials Science & Engineering,2017,10.1021/acsbiomaterials.7b00706,https://doi.org/10.1021/acsbiomaterials.7b00706,False
ACS Biomaterials Science & Engineering,2018,10.1021/abv004i012_1239891,https://doi.org/10.1021/abv004i012_1239891,False
ACS Biomaterials Science & Engineering,2019,10.1021/acsbiomaterials.8b01508,https://doi.org/10.1021/acsbiomaterials.8b01508,False
